time[yrs],velocity[m/yr]
2005.0,0.02605
2005.2,0.02878
2005.4,0.03403
2005.6,0.03928
2005.8,0.04178
2006.0,0.04043
2006.2,0.0384
2006.4,0.03601
2006.6,0.03228
2006.8,0.0289
2007.0,0.02836
2007.2,0.02847
2007.4,0.02718
2007.6,0.02623
2007.8,0.02596
2008.0,0.02453
2008.2,0.02128
2008.4,0.01797
2008.6,0.01455
2008.8,0.01129
2009.0,0.00857
2009.2,0.00617
2009.4,0.00424
2009.6,0.00236
2009.8,0.00014
2010.0,-0.00349
2010.2,-0.00813
2010.4,-0.01366
2010.6,-0.01864
2010.8,-0.02212
2011.0,-0.0239
2011.2,-0.02379
2011.4,-0.02201
2011.6,-0.01854
2011.8,-0.01559
2012.0,-0.01424
2012.2,-0.01334
2012.4,-0.01185
2012.6,-0.01096
2012.8,-0.01114
2013.0,-0.01065
2013.2,-0.00805
2013.4,-0.0033
2013.6,0.00364
2013.8,0.01272
2014.0,0.02169
2014.2,0.02937
2014.4,0.03458
2014.6,0.03642
2014.8,0.03611
2015.0,0.03276
2015.2,0.02631
2015.4,0.01859
2015.6,0.01023
2015.8,0.00198
2016.0,-0.00501
2016.2,-0.0119
2016.4,-0.01825
2016.6,-0.02378
2016.8,-0.02886
2017.0,-0.03086
2017.2,-0.02976
2017.4,-0.02814
2017.6,-0.02623
2017.8,-0.02192
2018.0,-0.01806
2018.2,-0.01755
2018.4,-0.01817
2018.6,-0.01752
2018.8,-0.0168
2019.0,-0.01728
2019.2,-0.01672
2019.4,-0.01532
2019.6,-0.01509
2019.8,-0.01579
2020.0,-0.01649
2020.2,-0.01773
2020.4,-0.0189
2020.6,-0.01854
2020.8,-0.01753
2021.0,-0.0171
2021.2,-0.01625
2021.4,-0.01519
2021.6,-0.01543
2021.8,-0.01612
2022.0,-0.01618
2022.2,-0.01653
2022.4,-0.0173
2022.6,-0.01811
2022.8,-0.01934
2023.0,-0.02016
2023.2,-0.02053
2023.4,-0.02056
2023.6,-0.01989
2023.8,-0.01865
2024.0,-0.01791
2024.2,-0.01765
2024.4,-0.01758
2024.6,-0.01714
2024.8,-0.01651
