time[yrs],velocity[m/yr]
2006.6,-0.00088
2006.8,-0.00084
2007.0,-0.00037
2007.2,-0.00071
2007.4,-0.00192
2007.6,-0.00293
2007.8,-0.00353
2008.0,-0.00368
2008.2,-0.00316
2008.4,-0.00237
2008.6,-0.00235
2008.8,-0.00221
2009.0,-0.00182
2009.2,-0.0018
2009.4,-0.00208
2009.6,-0.00205
2009.8,-0.00157
2010.0,-0.00184
2010.2,-0.00315
2010.4,-0.00453
2010.6,-0.00507
2010.8,-0.00479
2011.0,-0.00389
2011.2,-0.00186
2011.4,0.00074
2011.6,0.00303
2011.8,0.00428
2012.0,0.00425
2012.2,0.00345
2012.4,0.00245
2012.6,0.00125
2012.8,-5e-05
2013.0,-0.00078
2013.2,-0.0007
2013.4,-0.00071
2013.6,-0.00116
2013.8,-0.00147
2014.0,-0.00188
2014.2,-0.00265
2014.4,-0.0032
2014.6,-0.00314
2014.8,-0.00262
2015.0,-0.00168
2015.2,-0.00039
2015.4,0.00066
2015.6,0.00142
2015.8,0.00142
2016.0,0.00085
2016.2,-0.00056
2016.4,-0.00235
2016.6,-0.00352
2016.8,-0.00438
2017.0,-0.00446
2017.2,-0.00389
2017.4,-0.0028
2017.6,-0.00157
2017.8,-0.00047
2018.0,0.00069
2018.2,0.00134
2018.4,0.00126
2018.6,0.00077
2018.8,3e-05
2019.0,-0.00093
2019.2,-0.0026
2019.4,-0.00422
2019.6,-0.00517
2019.8,-0.00522
2020.0,-0.0041
2020.2,-0.00219
2020.4,-0.00016
2020.6,0.00158
2020.8,0.00323
2021.0,0.00396
2021.2,0.00342
2021.4,0.00221
2021.6,0.0008
2021.8,-6e-05
2022.0,-0.00063
2022.2,-0.0016
2022.4,-0.00232
2022.6,-0.00264
2022.8,-0.00334
2023.0,-0.00374
2023.2,-0.00319
2023.4,-0.00204
2023.6,-0.00096
2023.8,-0.00022
2024.0,0.00015
2024.2,0.00024
2024.4,-0.0001
2024.6,-0.00087
2024.8,-0.00122
