time[yrs],velocity[m/yr]
2004.0,0.00197
2004.2,0.00506
2004.4,0.01161
2004.6,0.01932
2004.8,0.02761
2005.0,0.03367
2005.2,0.03896
2005.4,0.04695
2005.6,0.05643
2005.8,0.06074
2006.0,0.06167
2006.2,0.06265
2006.4,0.05963
2006.6,0.05364
2006.8,0.04739
2007.0,0.04309
2007.2,0.04075
2007.4,0.03897
2007.6,0.03808
2007.8,0.03885
2008.0,0.03992
2008.2,0.03946
2008.4,0.03708
2008.6,0.03244
2008.8,0.02839
2009.0,0.02444
2009.2,0.01865
2009.4,0.01234
2009.6,0.00656
2009.8,0.00125
2010.0,-0.00488
2010.2,-0.01044
2010.4,-0.01439
2010.6,-0.01662
2010.8,-0.01794
2011.0,-0.01801
2011.2,-0.01605
2011.4,-0.01297
2011.6,-0.01093
2011.8,-0.01115
2012.0,-0.01256
2012.2,-0.01441
2012.4,-0.01677
2012.6,-0.0194
2012.8,-0.02125
2013.0,-0.02178
2013.2,-0.02009
2013.4,-0.01549
2013.6,-0.00779
2013.8,0.00268
2014.0,0.01441
2014.2,0.02525
2014.4,0.03283
2014.6,0.03541
2014.8,0.03306
2015.0,0.02721
2015.2,0.01948
2015.4,0.01083
2015.6,0.00277
2015.8,-0.00425
2016.0,-0.01033
2016.2,-0.01614
2016.4,-0.02135
2016.6,-0.02485
2016.8,-0.02702
2017.0,-0.02783
2017.2,-0.02809
2017.4,-0.02748
2017.6,-0.02632
2017.8,-0.02574
2018.0,-0.02549
2018.2,-0.02508
2018.4,-0.02485
2018.6,-0.02524
2018.8,-0.02585
2019.0,-0.02649
2019.2,-0.02701
2019.4,-0.02747
2019.6,-0.02746
2019.8,-0.02671
2020.0,-0.0258
2020.2,-0.02493
2020.4,-0.02436
2020.6,-0.02456
2020.8,-0.02488
2021.0,-0.02488
2021.2,-0.02452
2021.4,-0.02389
2021.6,-0.02281
2021.8,-0.02097
2022.0,-0.01944
2022.2,-0.01906
2022.4,-0.01924
2022.6,-0.01975
2022.8,-0.02111
2023.0,-0.02251
2023.2,-0.02349
2023.4,-0.02235
2023.6,-0.02076
