time[yrs],velocity[m/yr]
2006.8,0.00075
2006.8,0.00075
2007.0,0.00105
2007.2,0.00103
2007.433,7e-05
2007.6,-0.00045
2007.8,-0.0009
2008.0,-0.00133
2008.2,-0.00165
2008.467,-0.00197
2008.6,-0.00234
2008.8,-0.00208
2009.0,-0.00121
2009.2,-0.00048
2009.436,0.00048
2009.6,0.00076
2009.8,0.0011
2010.0,0.00079
2010.2,-1e-05
2010.4,-0.0011
2010.6,-0.00191
2010.8,-0.00197
2011.0,-0.00148
2011.2,-0.0005
2011.4,0.001
2011.6,0.00285
2011.8,0.00393
2012.0,0.00395
2012.2,0.00349
2012.4,0.00298
2012.6,0.00208
2012.8,0.00092
2013.0,0.00015
2013.2,7e-05
2013.4,0.00014
2013.6,-1e-05
2013.8,2e-05
2014.0,-0.00012
2014.2,-0.00063
2014.4,-0.00094
2014.6,-0.00071
2014.8,-0.00021
2015.0,0.0006
2015.2,0.00196
2015.4,0.0031
2015.6,0.00352
2015.8,0.00317
2016.0,0.00245
2016.2,0.00104
2016.4,-0.00087
2016.6,-0.00229
2016.8,-0.00308
2017.0,-0.00339
2017.2,-0.00346
2017.4,-0.0028
2017.6,-0.00168
2017.8,-0.00084
2018.0,0.00017
2018.2,0.00099
2018.4,0.00104
2018.6,0.00072
2018.8,9e-05
2019.0,-0.00095
2019.2,-0.00181
2019.4,-0.00207
2019.6,-0.00214
2019.8,-0.00174
2020.0,-0.00073
2020.2,0.00062
2020.4,0.00184
2020.6,0.00267
2020.8,0.00373
2021.0,0.00441
2021.2,0.00438
2021.4,0.00397
2021.6,0.0032
2021.8,0.0026
2022.0,0.00231
2022.2,0.00179
2022.4,0.00082
2022.6,8e-05
2022.8,-0.00063
2023.0,-0.00108
2023.2,-0.00115
2023.4,-0.00075
2023.6,0.00014
2023.8,0.0009
2024.0,0.00124
2024.2,0.00134
2024.4,0.00126
2024.6,0.0009
2024.8,0.00072
