time[yrs],velocity[m/yr]
2000.2,0.00131
2000.2,0.00131
2000.4,0.00118
2000.6,-0.00114
2000.8,-0.00616
2001.0,-0.0114
2001.2,-0.01443
2001.4,-0.01527
2001.6,-0.01485
2001.8,-0.01192
2002.0,-0.00699
2002.2,-0.00276
2002.4,-0.00011
2002.6,0.00325
2002.8,0.00569
2003.0,0.00416
2003.2,0.00225
2003.4,0.00116
2003.6,-0.00272
2003.9,-0.00235
2004.0,-0.0025
2004.2,-0.00052
2004.4,0.00436
2004.6,0.01511
2004.867,0.02911
2005.0,0.03699
2005.2,0.0411
2005.4,0.0447
2005.65,0.04351
2005.8,0.04417
2006.0,0.04418
2006.2,0.04475
2006.4,0.04364
2006.64,0.03246
2006.8,0.02915
2007.0,0.02774
2007.2,0.02751
2007.4,0.02704
2007.6,0.0267
2007.8,0.02656
2008.0,0.02586
2008.2,0.02392
2008.4,0.02133
2008.6,0.01809
2008.8,0.01516
2009.0,0.01239
2009.2,0.00895
2009.4,0.00563
2009.633,0.00098
2009.8,-0.00155
2010.0,-0.00509
2010.2,-0.00904
2010.4,-0.01242
2010.6,-0.01455
2010.8,-0.01557
2011.0,-0.01534
2011.2,-0.01385
2011.4,-0.01194
2011.6,-0.00999
2011.8,-0.00879
2012.0,-0.00916
2012.2,-0.0102
2012.4,-0.01123
2012.6,-0.01262
2012.8,-0.0141
2013.0,-0.01457
2013.2,-0.013
2013.4,-0.00933
2013.6,-0.00359
2013.833,0.00381
2014.0,0.0107
2014.2,0.01728
2014.4,0.02226
2014.6,0.02437
2014.8,0.02364
2015.0,0.02068
2015.2,0.01644
2015.4,0.01139
2015.6,0.00621
2015.8,0.00106
2016.0,-0.00395
2016.2,-0.00899
2016.4,-0.0135
2016.6,-0.01716
2016.8,-0.01972
2017.0,-0.01992
2017.2,-0.01926
2017.4,-0.01839
2017.6,-0.01687
2017.8,-0.01539
2018.0,-0.01414
2018.2,-0.01357
2018.4,-0.01343
2018.6,-0.01358
2018.8,-0.0138
2019.0,-0.01503
2019.2,-0.01664
2019.4,-0.01706
2019.6,-0.01712
2019.8,-0.01666
2020.0,-0.01516
2020.2,-0.0137
2020.4,-0.01267
2020.6,-0.01209
2020.8,-0.01246
2021.0,-0.01368
2021.2,-0.01469
2021.4,-0.01559
2021.6,-0.0166
2021.8,-0.01658
2022.0,-0.01551
2022.2,-0.01474
2022.4,-0.01441
2022.6,-0.01447
2022.8,-0.0152
2023.0,-0.01589
2023.2,-0.01674
2023.4,-0.01698
2023.6,-0.01651
2023.8,-0.01491
2024.0,-0.01442
2024.2,-0.01413
2024.4,-0.01375
2024.6,-0.0134
2024.8,-0.01916
