time[yrs],velocity[mm/yr]
1986,0.08641
1987,-0.59249
1988,-0.93538
1989,-1.22589
1990,-1.48398
1991,-1.71878
1992,-1.9355
1993,-2.1375
1994,-2.32717
1995,-2.50627
1996,-2.9412
1997,-3.10377
1998,-3.25906
1999,-3.40783
2000,-3.55071
2001,-3.68824
2002,-3.8209
2003,3.46959
2004,6.37633
2005,12.7181
2006,16.15621
2007,14.87348
2008,7.37951
2009,0.37199
2010,-4.93768
2011,-8.01163
2012,-7.59275
2013,-3.20291
2014,2.72092
2015,4.44622
2016,0.25695
2017,-5.91663
2018,-7.84748
2019,-6.12421
2020,-4.65829
2021,-4.24553
2022,-3.51981
2023,-3.05739
2024,-3.49123
