time[yrs],velocity[mm/yr]
1986,0.0092
1987,0.00912
1988,0.01042
1989,0.01204
1990,0.01371
1991,0.01527
1992,0.01662
1993,0.01769
1994,0.01845
1995,0.01887
1996,0.01859
1997,0.01837
1998,0.01781
1999,0.01695
2000,0.0158
2001,0.01438
2002,0.01271
2003,0.01108
2004,-0.00192
2005,-0.0149
2006,-0.03712
2007,-0.06754
2008,-0.09169
2009,-0.08949
2010,-0.07033
2011,-0.04093
2012,-0.00813
2013,0.01982
2014,0.03388
2015,0.02903
2016,0.01447
2017,0.01083
2018,0.02474
2019,0.04154
2020,0.04893
2021,0.04957
2022,0.04819
2023,0.04404
2024,0.03789
