time[yrs],velocity[m/yr]
2000.2,0.00294
2000.2,0.00294
2000.4,0.00298
2000.6,0.0036
2000.8,0.00464
2001.0,0.00489
2001.2,0.00514
2001.4,0.00546
2001.6,0.00517
2001.8,0.00494
2002.0,0.00498
2002.2,0.00543
2002.4,0.00557
2002.6,0.00555
2002.8,0.0054
2003.0,0.0046
2003.2,0.00381
2003.4,0.00296
2003.6,0.00183
2003.8,0.00092
2004.0,-5e-05
2004.2,-0.0007
2004.4,-0.00132
2004.7,-0.00859
2004.8,-0.00864
2005.0,-0.01101
2005.2,-0.01533
2005.4,-0.01792
2005.6,-0.01861
2005.8,-0.01898
2006.0,-0.01733
2006.2,-0.01323
2006.467,-0.00637
2006.65,-0.00526
2006.8,-0.00392
2007.0,-0.00215
2007.2,-0.00147
2007.4,-0.00208
2007.6,-0.00253
2007.8,-0.00301
2008.0,-0.00352
2008.2,-0.00395
2008.44,-0.00417
2008.6,-0.00435
2008.8,-0.00431
2009.0,-0.00385
2009.2,-0.00332
2009.433,-0.00223
2009.6,-0.00155
2009.8,-0.00055
2010.0,-0.00025
2010.2,-0.00053
2010.4,-0.00103
2010.6,-0.00141
2010.8,-0.00154
2011.0,-0.0014
2011.2,-0.0006
2011.4,0.00074
2011.6,0.00221
2011.8,0.00292
2012.0,0.00282
2012.2,0.00243
2012.4,0.00209
2012.6,0.00145
2012.8,0.00092
2013.0,0.00146
2013.2,0.00304
2013.4,0.00401
2013.6,0.00381
2013.8,0.00304
2014.0,0.00114
2014.2,-0.00166
2014.4,-0.00412
2014.6,-0.00566
2014.8,-0.00615
2015.0,-0.00524
2015.2,-0.00276
2015.4,0.00031
2015.6,0.00308
2015.8,0.00499
2016.0,0.00598
2016.2,0.00578
2016.4,0.00505
2016.6,0.00449
2016.8,0.0038
2017.0,0.00336
2017.2,0.00315
2017.4,0.00325
2017.6,0.00345
2017.8,0.00342
2018.0,0.00367
2018.2,0.00381
2018.4,0.00352
2018.6,0.00291
2018.8,0.00196
2019.0,0.00053
2019.2,-0.00104
2019.4,-0.00248
2019.6,-0.00423
2019.8,-0.00481
2020.0,-0.00354
2020.2,-0.00152
2020.4,0.00029
2020.6,0.0022
2020.8,0.00373
2021.0,0.0039
2021.2,0.00388
2021.4,0.00382
2021.6,0.00315
2021.8,0.00227
2022.0,0.00167
2022.2,0.00034
2022.4,-0.00149
2022.6,-0.00229
2022.8,-0.00262
2023.0,-0.00287
2023.2,-0.00242
2023.4,-0.00129
2023.6,-9e-05
2023.8,0.00089
2024.0,0.00132
2024.2,0.00105
2024.4,0.0002
2024.6,0.00026
2024.8,-0.00052
