time[yrs],velocity[m/yr]
2000.2,0.00294
2000.2,0.00294
2000.4,0.00298
2000.6,0.0036
2000.8,0.00464
2001.0,0.00489
2001.2,0.00514
2001.4,0.00546
2001.6,0.00517
2001.8,0.00494
2002.0,0.00498
2002.2,0.00543
2002.4,0.00557
2002.6,0.00555
2002.8,0.0054
2003.0,0.0046
2003.2,0.00381
2003.4,0.00296
2003.6,0.00183
2003.8,0.00092
2004.0,-5e-05
2004.2,-0.0007
2004.4,-0.00132
2004.6,-0.0018
2004.8,-0.00189
2005.0,-0.00208
2005.2,-0.00275
2005.4,-0.00325
2005.6,-0.00371
2005.8,-0.00619
2006.0,-0.00829
2006.2,-0.00894
2006.5,-0.00524
2006.667,-0.00654
2006.8,-0.0063
2007.0,-0.00478
2007.2,-0.00354
2007.4,-0.00338
2007.6,-0.00323
2007.8,-0.00314
2008.0,-0.00337
2008.2,-0.00357
2008.45,-0.00378
2008.6,-0.00389
2008.8,-0.00383
2009.0,-0.0034
2009.2,-0.003
2009.44,-0.00206
2009.6,-0.00148
2009.8,-0.00051
2010.0,-0.00027
2010.2,-0.00053
2010.4,-0.00085
2010.6,-0.00106
2010.8,-0.00113
2011.0,-0.00091
2011.2,-2e-05
2011.4,0.00136
2011.6,0.00287
2011.8,0.00366
2012.0,0.00354
2012.2,0.00296
2012.4,0.00254
2012.6,0.00188
2012.8,0.00113
2013.0,0.00097
2013.2,0.00137
2013.4,0.0016
2013.6,0.0013
2013.8,0.00073
2014.0,-0.00042
2014.2,-0.00182
2014.4,-0.00289
2014.6,-0.00341
2014.8,-0.00331
2015.0,-0.00226
2015.2,-0.00046
2015.4,0.00105
2015.6,0.00214
2015.8,0.00262
2016.0,0.0023
2016.2,0.00095
2016.4,-0.00062
2016.6,-0.00164
2016.8,-0.00236
2017.0,-0.00234
2017.2,-0.0019
2017.4,-0.00114
2017.6,-0.0002
2017.8,0.00048
2018.0,0.00114
2018.2,0.00148
2018.4,0.00153
2018.6,0.00138
2018.8,0.00079
2019.0,-0.00021
2019.2,-0.00088
2019.4,-0.00121
2019.6,-0.00208
2019.8,-0.00209
2020.0,-0.00082
2020.2,0.00071
2020.4,0.00178
2020.6,0.00309
2020.8,0.00423
2021.0,0.00414
2021.2,0.00396
2021.4,0.00391
2021.6,0.00346
2021.8,0.00289
2022.0,0.00256
2022.2,0.00146
2022.4,-0.0
2022.6,-0.00041
2022.8,-0.00051
2023.0,-0.00055
2023.2,0.0001
2023.4,0.00129
2023.6,0.00225
2023.8,0.00284
2024.0,0.00304
2024.2,0.00252
2024.4,0.00135
2024.6,0.00026
2024.8,-0.00052
