site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
HVWY 04SEP11 2004.6954 53259 1287 6 -110.5  -2854 -0.380849   4942004  0.700195  2406  0.830950  0.0000 0.000763 0.001008 0.003299  0.045228  0.016965  0.034135  44.6136012401 -110.5359616091  2406.83095
HVWY 04SEP12 2004.6982 53260 1288 0 -110.5  -2854 -0.379028   4942004  0.700893  2406  0.840990  0.0000 0.000763 0.001020 0.003278  0.021417  0.003187  0.018928  44.6136012462 -110.5359615867  2406.84099
HVWY 04SEP13 2004.7009 53261 1288 1 -110.5  -2854 -0.380856   4942004  0.699527  2406  0.833224  0.0000 0.000753 0.001017 0.003240  0.033239 -0.021492 -0.006073  44.6136012337 -110.5359616102  2406.83322
HVWY 04SEP14 2004.7036 53262 1288 2 -110.5  -2854 -0.380385   4942004  0.699748  2406  0.831014  0.0000 0.000765 0.001024 0.003214  0.088717 -0.065658 -0.056357  44.6136012354 -110.5359616048  2406.83101
HVWY 04SEP15 2004.7064 53263 1288 3 -110.5  -2854 -0.380571   4942004  0.700102  2406  0.832180  0.0000 0.000773 0.001016 0.003237  0.064973  0.023474 -0.080294  44.6136012384 -110.5359616077  2406.83218
HVWY 04SEP16 2004.7091 53264 1288 4 -110.5  -2854 -0.383333   4942004  0.701351  2406  0.832546  0.0000 0.000760 0.001011 0.003233  0.062984 -0.012560 -0.004333  44.6136012494 -110.5359616430  2406.83255
HVWY 04SEP17 2004.7118 53265 1288 5 -110.5  -2854 -0.381156   4942004  0.702833  2406  0.835415  0.0000 0.000755 0.000999 0.003232  0.016037 -0.050977 -0.021890  44.6136012625 -110.5359616161  2406.83541
HVWY 04SEP18 2004.7146 53266 1288 6 -110.5  -2854 -0.380959   4942004  0.700905  2406  0.835230  0.0000 0.000764 0.001021 0.003244  0.052773 -0.033645 -0.004378  44.6136012449 -110.5359616141  2406.83523
HVWY 04SEP19 2004.7173 53267 1289 0 -110.5  -2854 -0.379821   4942004  0.698744  2406  0.835963  0.0000 0.000747 0.000992 0.003228  0.024013 -0.026403  0.016424  44.6136012252 -110.5359616003  2406.83596
HVWY 04SEP20 2004.7201 53268 1289 1 -110.5  -2854 -0.378273   4942004  0.700102  2406  0.835892  0.0000 0.000730 0.000987 0.003095  0.056228 -0.015464 -0.000260  44.6136012372 -110.5359615813  2406.83589
HVWY 04SEP21 2004.7228 53269 1289 2 -110.5  -2854 -0.379200   4942004  0.699789  2406  0.828779  0.0000 0.000755 0.001014 0.003262  0.043687 -0.006305  0.003517  44.6136012342 -110.5359615935  2406.82878
HVWY 04SEP22 2004.7255 53270 1289 3 -110.5  -2854 -0.379238   4942004  0.700757  2406  0.829648  0.0000 0.000751 0.001009 0.003200  0.027680 -0.012725 -0.023836  44.6136012426 -110.5359615945  2406.82965
HVWY 04SEP23 2004.7283 53271 1289 4 -110.5  -2854 -0.380921   4942004  0.700144  2406  0.829904  0.0000 0.000733 0.001003 0.003162  0.024967 -0.030627 -0.012865  44.6136012369 -110.5359616163  2406.82990
HVWY 04SEP24 2004.7310 53272 1289 5 -110.5  -2854 -0.381083   4942004  0.701358  2406  0.830680  0.0000 0.000728 0.001008 0.003115  0.014873  0.021171 -0.006200  44.6136012476 -110.5359616188  2406.83068
HVWY 04SEP25 2004.7337 53273 1289 6 -110.5  -2854 -0.380040   4942004  0.701039  2406  0.826421  0.0000 0.000752 0.000987 0.003171  0.023604  0.011956 -0.019406  44.6136012445 -110.5359616062  2406.82642
HVWY 04SEP26 2004.7365 53274 1290 0 -110.5  -2854 -0.380152   4942004  0.701275  2406  0.830953  0.0000 0.000761 0.001000 0.003202  0.027082 -0.010366 -0.035119  44.6136012464 -110.5359616081  2406.83095
HVWY 04SEP27 2004.7392 53275 1290 1 -110.5  -2854 -0.380045   4942004  0.701487  2406  0.831393  0.0000 0.000766 0.001004 0.003289  0.007390 -0.050804  0.011236  44.6136012480 -110.5359616073  2406.83139
HVWY 04SEP28 2004.7420 53276 1290 2 -110.5  -2854 -0.380202   4942004  0.699514  2406  0.828766  0.0000 0.000750 0.001002 0.003231 -0.009867  0.015134  0.020747  44.6136012300 -110.5359616098  2406.82877
HVWY 04SEP29 2004.7447 53277 1290 3 -110.5  -2854 -0.381784   4942004  0.702248  2406  0.833178  0.0000 0.000750 0.001001 0.003221 -0.014624  0.036650 -0.044307  44.6136012544 -110.5359616303  2406.83318
HVWY 04SEP30 2004.7474 53278 1290 4 -110.5  -2854 -0.380293   4942004  0.700001  2406  0.835608  0.0000 0.000752 0.000976 0.003154  0.013950  0.006424  0.008799  44.6136012340 -110.5359616120  2406.83561
