site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
LKWY 99JAN01 1999.0007 51179  990 5 -110.4    -17 -0.369402   4936612  0.444970  2424  0.391005  0.0000 0.001167 0.001645 0.006234 -0.053204 -0.087336 -0.438674  44.5650769496 -110.4002184547  2424.39101
LKWY 99JAN02 1999.0034 51180  990 6 -110.4    -17 -0.366748   4936612  0.448793  2424  0.388421  0.0000 0.001037 0.001449 0.005364  0.033102 -0.073186 -0.401299  44.5650769838 -110.4002184218  2424.38842
LKWY 99JAN03 1999.0062 51181  991 0 -110.4    -17 -0.370704   4936612  0.447209  2424  0.382274  0.0000 0.001136 0.001467 0.005949  0.017253 -0.099428 -0.400404  44.5650769693 -110.4002184722  2424.38227
LKWY 99JAN04 1999.0089 51182  991 1 -110.4    -17 -0.372311   4936612  0.446210  2424  0.387809  0.0000 0.001043 0.001401 0.005399  0.053485 -0.064942 -0.396749  44.5650769600 -110.4002184929  2424.38781
LKWY 99JAN05 1999.0116 51183  991 2 -110.4    -17 -0.369731   4936612  0.449438  2424  0.373826  0.0000 0.001102 0.001421 0.005534  0.067498 -0.070853 -0.377987  44.5650769889 -110.4002184609  2424.37383
LKWY 99JAN06 1999.0144 51184  991 3 -110.4    -17 -0.368005   4936612  0.448007  2424  0.383189  0.0000 0.001024 0.001387 0.005469  0.021650 -0.152961 -0.402266  44.5650769757 -110.4002184397  2424.38319
LKWY 99JAN07 1999.0171 51185  991 4 -110.4    -17 -0.368790   4936612  0.445757  2424  0.382457  0.0000 0.001064 0.001504 0.005604 -0.024691 -0.049952 -0.330460  44.5650769553 -110.4002184501  2424.38246
LKWY 99JAN08 1999.0198 51186  991 5 -110.4    -17 -0.367066   4936612  0.444976  2424  0.379632  0.0000 0.000964 0.001394 0.005166  0.000009 -0.081544 -0.396494  44.5650769480 -110.4002184290  2424.37963
LKWY 99JAN09 1999.0226 51187  991 6 -110.4    -17 -0.368568   4936612  0.448546  2424  0.363763  0.0000 0.001044 0.001524 0.005620 -0.024883 -0.079312 -0.400738  44.5650769799 -110.4002184484  2424.36376
LKWY 99JAN14 1999.0363 51192  992 4 -110.4    -17 -0.368008   4936612  0.443217  2424  0.400945  0.0000 0.001061 0.001573 0.005932 -0.080517 -0.022664 -0.476302  44.5650769308 -110.4002184440  2424.40094
LKWY 99JAN15 1999.0390 51193  992 5 -110.4    -17 -0.369488   4936612  0.443178  2424  0.397858  0.0000 0.000987 0.001419 0.005300 -0.052491  0.003646 -0.393703  44.5650769302 -110.4002184631  2424.39786
LKWY 99JAN16 1999.0418 51194  992 6 -110.4    -17 -0.369866   4936612  0.446403  2424  0.401437  0.0000 0.000980 0.001335 0.004923  0.060783 -0.048668 -0.372111  44.5650769590 -110.4002184684  2424.40144
LKWY 99JAN17 1999.0445 51195  993 0 -110.4    -17 -0.371380   4936612  0.445694  2424  0.402056  0.0000 0.000932 0.001281 0.004760  0.030503 -0.071698 -0.356687  44.5650769524 -110.4002184880  2424.40206
LKWY 99JAN18 1999.0472 51196  993 1 -110.4    -17 -0.369681   4936612  0.444379  2424  0.393569  0.0000 0.000947 0.001282 0.004951 -0.016862 -0.027178 -0.380906  44.5650769403 -110.4002184671  2424.39357
LKWY 99JAN19 1999.0500 51197  993 2 -110.4    -17 -0.371267   4936612  0.448889  2424  0.394687  0.0000 0.001074 0.001470 0.005602 -0.013790 -0.065952 -0.341824  44.5650769807 -110.4002184876  2424.39469
LKWY 99JAN21 1999.0554 51199  993 4 -110.4    -17 -0.370648   4936612  0.449133  2424  0.386535  0.0000 0.001135 0.001541 0.005912 -0.018305 -0.130366 -0.358247  44.5650769824 -110.4002184808  2424.38654
LKWY 99JAN22 1999.0582 51200  993 5 -110.4    -17 -0.372081   4936612  0.447626  2424  0.401664  0.0000 0.001032 0.001422 0.005437 -0.009544 -0.027703 -0.393707  44.5650769686 -110.4002184994  2424.40166
LKWY 99JAN23 1999.0609 51201  993 6 -110.4    -17 -0.372207   4936612  0.447042  2424  0.396679  0.0000 0.001132 0.001636 0.006072 -0.133068  0.053652 -0.356968  44.5650769631 -110.4002185015  2424.39668
LKWY 99JAN27 1999.0719 51205  994 3 -110.4    -17 -0.370508   4936612  0.447380  2424  0.399805  0.0000 0.001025 0.001531 0.005777 -0.027868 -0.087141 -0.426920  44.5650769652 -110.4002184822  2424.39981
LKWY 99JAN28 1999.0746 51206  994 4 -110.4    -17 -0.372838   4936612  0.449351  2424  0.406817  0.0000 0.001206 0.001883 0.006799 -0.147522  0.049873 -0.437105  44.5650769827 -110.4002185121  2424.40682
LKWY 99JAN30 1999.0801 51208  994 6 -110.4    -17 -0.369722   4936612  0.446064  2424  0.408415  0.0000 0.001088 0.001507 0.005696  0.009825 -0.036563 -0.419289  44.5650769527 -110.4002184739  2424.40842
LKWY 99JAN31 1999.0828 51209  995 0 -110.4    -17 -0.372910   4936612  0.447722  2424  0.406695  0.0000 0.001026 0.001490 0.005612  0.001479 -0.085501 -0.410653  44.5650769674 -110.4002185145  2424.40669
LKWY 99FEB01 1999.0856 51210  995 1 -110.4    -17 -0.374271   4936612  0.447679  2424  0.410849  0.0000 0.000976 0.001391 0.005421  0.022011 -0.045131 -0.429577  44.5650769668 -110.4002185322  2424.41085
LKWY 99FEB02 1999.0883 51211  995 2 -110.4    -17 -0.371150   4936612  0.444154  2424  0.405157  0.0000 0.001091 0.001584 0.005990 -0.027363  0.002853 -0.431494  44.5650769348 -110.4002184934  2424.40516
LKWY 99FEB03 1999.0910 51212  995 3 -110.4    -17 -0.370856   4936612  0.444851  2424  0.408053  0.0000 0.001015 0.001475 0.005433 -0.009385 -0.086112 -0.371190  44.5650769408 -110.4002184902  2424.40805
LKWY 99FEB04 1999.0938 51213  995 4 -110.4    -17 -0.367824   4936612  0.444284  2424  0.406332  0.0000 0.000996 0.001455 0.005187 -0.036654 -0.024990 -0.370230  44.5650769355 -110.4002184526  2424.40633
LKWY 99FEB05 1999.0965 51214  995 5 -110.4    -17 -0.372395   4936612  0.449986  2424  0.410494  0.0000 0.000993 0.001455 0.005303 -0.057252 -0.014776 -0.398963  44.5650769866 -110.4002185107  2424.41049
LKWY 99FEB06 1999.0992 51215  995 6 -110.4    -17 -0.372231   4936612  0.441193  2424  0.407021  0.0000 0.000992 0.001387 0.005358  0.039354 -0.189476 -0.438055  44.5650769072 -110.4002185091  2424.40702
LKWY 99FEB07 1999.1020 51216  996 0 -110.4    -17 -0.373736   4936612  0.445464  2424  0.401700  0.0000 0.001035 0.001507 0.005486 -0.029337  0.002319 -0.397597  44.5650769454 -110.4002185286  2424.40170
LKWY 99FEB08 1999.1047 51217  996 1 -110.4    -17 -0.373058   4936612  0.443530  2424  0.405734  0.0000 0.000987 0.001391 0.005255  0.084863 -0.128822 -0.359465  44.5650769278 -110.4002185206  2424.40573
LKWY 99FEB09 1999.1075 51218  996 2 -110.4    -17 -0.369772   4936612  0.446710  2424  0.400188  0.0000 0.001105 0.001621 0.006106  0.001669 -0.072282 -0.436782  44.5650769562 -110.4002184797  2424.40019
LKWY 99FEB13 1999.1184 51222  996 6 -110.4    -17 -0.369859   4936612  0.452140  2424  0.392432  0.0000 0.000983 0.001422 0.005511  0.081735 -0.081879 -0.484034  44.5650770041 -110.4002184829  2424.39243
LKWY 99FEB14 1999.1211 51223  997 0 -110.4    -17 -0.368694   4936612  0.444511  2424  0.413757  0.0000 0.001092 0.001580 0.005703  0.002481  0.022887 -0.372376  44.5650769352 -110.4002184688  2424.41376
LKWY 99FEB16 1999.1266 51225  997 2 -110.4    -17 -0.370785   4936612  0.447160  2424  0.389089  0.0000 0.001053 0.001552 0.006152 -0.022800 -0.104860 -0.445333  44.5650769586 -110.4002184961  2424.38909
LKWY 99FEB18 1999.1321 51227  997 4 -110.4    -17 -0.378011   4936612  0.444063  2424  0.402976  0.0000 0.001262 0.001714 0.006624  0.144096 -0.171857 -0.394236  44.5650769303 -110.4002185881  2424.40298
LKWY 99FEB19 1999.1348 51228  997 5 -110.4    -17 -0.374830   4936612  0.450191  2424  0.387572  0.0000 0.001166 0.001685 0.006282  0.081930 -0.053361 -0.382563  44.5650769852 -110.4002185486  2424.38757
LKWY 99FEB20 1999.1376 51229  997 6 -110.4    -17 -0.371258   4936612  0.447222  2424  0.382323  0.0000 0.001047 0.001460 0.005562 -0.003987 -0.092303 -0.361129  44.5650769582 -110.4002185042  2424.38232
LKWY 99FEB21 1999.1403 51230  998 0 -110.4    -17 -0.372032   4936612  0.446975  2424  0.417389  0.0000 0.000996 0.001350 0.005264  0.015248 -0.157309 -0.381732  44.5650769558 -110.4002185144  2424.41739
LKWY 99FEB22 1999.1431 51231  998 1 -110.4    -17 -0.374588   4936612  0.447290  2424  0.402599  0.0000 0.001044 0.001508 0.005552 -0.015226 -0.076061 -0.405052  44.5650769584 -110.4002185471  2424.40260
