site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
MAWY 99JAN01 1999.0007 51179  990 5 -110.7    844  0.053149   4981991  0.422946  1824  0.234158  0.0000 0.001426 0.001689 0.006808  0.063035 -0.250377 -0.177038  44.9734283717 -110.6892997799  1824.23416
MAWY 99JAN02 1999.0034 51180  990 6 -110.7    844  0.052392   4981991  0.427614  1824  0.255440  0.0000 0.001451 0.001766 0.007061  0.027692 -0.210258 -0.038519  44.9734284135 -110.6892997900  1824.25544
MAWY 99JAN03 1999.0062 51181  991 0 -110.7    844  0.049689   4981991  0.426674  1824  0.232453  0.0000 0.001322 0.001671 0.006708 -0.052297 -0.144926 -0.110190  44.9734284048 -110.6892998248  1824.23245
MAWY 99JAN04 1999.0089 51182  991 1 -110.7    844  0.050793   4981991  0.423414  1824  0.254521  0.0000 0.001418 0.001769 0.007121  0.009662 -0.195789 -0.124622  44.9734283752 -110.6892998114  1824.25452
MAWY 99JAN05 1999.0116 51183  991 2 -110.7    844  0.045383   4981991  0.426709  1824  0.244285  0.0000 0.001384 0.001718 0.006822  0.037826 -0.150450 -0.034985  44.9734284046 -110.6892998805  1824.24429
MAWY 99JAN06 1999.0144 51184  991 3 -110.7    844  0.048327   4981991  0.425188  1824  0.251383  0.0000 0.001295 0.001641 0.006506 -0.050356 -0.207829 -0.092297  44.9734283907 -110.6892998437  1824.25138
MAWY 99JAN07 1999.0171 51185  991 4 -110.7    844  0.048071   4981991  0.422604  1824  0.249412  0.0000 0.001348 0.001640 0.006687  0.006257 -0.254119 -0.069721  44.9734283672 -110.6892998474  1824.24941
MAWY 99JAN08 1999.0198 51186  991 5 -110.7    844  0.052308   4981991  0.420123  1824  0.246437  0.0000 0.001366 0.001646 0.006969 -0.022154 -0.276372 -0.177258  44.9734283447 -110.6892997943  1824.24644
MAWY 99JAN09 1999.0226 51187  991 6 -110.7    844  0.050128   4981991  0.423090  1824  0.235116  0.0000 0.001393 0.001700 0.007035  0.010250 -0.288186 -0.173788  44.9734283711 -110.6892998224  1824.23512
MAWY 99JAN10 1999.0253 51188  992 0 -110.7    844  0.051435   4981991  0.423878  1824  0.243595  0.0000 0.001342 0.001669 0.006701 -0.015717 -0.249509 -0.135346  44.9734283780 -110.6892998064  1824.24360
MAWY 99JAN11 1999.0281 51189  992 1 -110.7    844  0.047831   4981991  0.420965  1824  0.268201  0.0000 0.001442 0.001775 0.007484  0.028522 -0.240486 -0.248142  44.9734283515 -110.6892998526  1824.26820
MAWY 99JAN12 1999.0308 51190  992 2 -110.7    844  0.048034   4981991  0.422361  1824  0.265163  0.0000 0.001478 0.001684 0.007187  0.001559 -0.342773 -0.120190  44.9734283639 -110.6892998506  1824.26516
MAWY 99JAN13 1999.0335 51191  992 3 -110.7    844  0.048309   4981991  0.420548  1824  0.239018  0.0000 0.001426 0.001783 0.007043  0.062426 -0.252288 -0.144181  44.9734283473 -110.6892998476  1824.23902
MAWY 99JAN14 1999.0363 51192  992 4 -110.7    844  0.051235   4981991  0.420489  1824  0.244591  0.0000 0.001458 0.001833 0.006885  0.020289 -0.242910 -0.129682  44.9734283466 -110.6892998110  1824.24459
MAWY 99JAN15 1999.0390 51193  992 5 -110.7    844  0.052534   4981991  0.417158  1824  0.245580  0.0000 0.001378 0.001695 0.006742  0.026400 -0.239525 -0.114327  44.9734283163 -110.6892997951  1824.24558
MAWY 99JAN16 1999.0418 51194  992 6 -110.7    844  0.052974   4981991  0.423156  1824  0.252380  0.0000 0.001280 0.001639 0.006422  0.025104 -0.231852 -0.023851  44.9734283701 -110.6892997901  1824.25238
MAWY 99JAN17 1999.0445 51195  993 0 -110.7    844  0.049977   4981991  0.422159  1824  0.256922  0.0000 0.001264 0.001574 0.006363  0.000076 -0.225064 -0.050302  44.9734283609 -110.6892998286  1824.25692
MAWY 99JAN18 1999.0472 51196  993 1 -110.7    844  0.053062   4981991  0.422200  1824  0.257897  0.0000 0.001310 0.001662 0.006522  0.022648 -0.194466 -0.083898  44.9734283610 -110.6892997900  1824.25790
MAWY 99JAN19 1999.0500 51197  993 2 -110.7    844  0.049226   4981991  0.424729  1824  0.261061  0.0000 0.001292 0.001649 0.006410 -0.000094 -0.190392 -0.082950  44.9734283835 -110.6892998392  1824.26106
MAWY 99JAN20 1999.0527 51198  993 3 -110.7    844  0.050699   4981991  0.423623  1824  0.259707  0.0000 0.001340 0.001708 0.006670 -0.008575 -0.170574 -0.129033  44.9734283733 -110.6892998210  1824.25971
MAWY 99JAN21 1999.0554 51199  993 4 -110.7    844  0.049113   4981991  0.422174  1824  0.244270  0.0000 0.001347 0.001759 0.006982 -0.093580 -0.148229 -0.162457  44.9734283601 -110.6892998416  1824.24427
MAWY 99JAN22 1999.0582 51200  993 5 -110.7    844  0.047504   4981991  0.424143  1824  0.252796  0.0000 0.001387 0.001759 0.007152 -0.024096 -0.179006 -0.086347  44.9734283776 -110.6892998626  1824.25280
MAWY 99JAN23 1999.0609 51201  993 6 -110.7    844  0.047597   4981991  0.423338  1824  0.241429  0.0000 0.001372 0.001710 0.006934 -0.050944 -0.196635 -0.040595  44.9734283701 -110.6892998619  1824.24143
MAWY 99JAN24 1999.0637 51202  994 0 -110.7    844  0.043978   4981991  0.424306  1824  0.251413  0.0000 0.001362 0.001675 0.006972  0.013225 -0.260626 -0.071097  44.9734283785 -110.6892999083  1824.25141
MAWY 99JAN25 1999.0664 51203  994 1 -110.7    844  0.053393   4981991  0.422539  1824  0.235002  0.0000 0.001312 0.001637 0.006519 -0.046084 -0.157900 -0.134180  44.9734283624 -110.6892997895  1824.23500
MAWY 99JAN26 1999.0691 51204  994 2 -110.7    844  0.051441   4981991  0.422864  1824  0.255325  0.0000 0.001378 0.001806 0.007009 -0.018254 -0.165633 -0.023710  44.9734283651 -110.6892998148  1824.25533
MAWY 99JAN27 1999.0719 51205  994 3 -110.7    844  0.052040   4981991  0.421481  1824  0.247199  0.0000 0.001321 0.001742 0.006764  0.017392 -0.112477 -0.057421  44.9734283524 -110.6892998077  1824.24720
MAWY 99JAN28 1999.0746 51206  994 4 -110.7    844  0.049808   4981991  0.423977  1824  0.246203  0.0000 0.001299 0.001604 0.006415 -0.019575 -0.196295 -0.170373  44.9734283746 -110.6892998365  1824.24620
MAWY 99JAN29 1999.0773 51207  994 5 -110.7    844  0.051466   4981991  0.424468  1824  0.248213  0.0000 0.001371 0.001813 0.006847 -0.051719 -0.085038 -0.104330  44.9734283788 -110.6892998160  1824.24821
MAWY 99JAN30 1999.0801 51208  994 6 -110.7    844  0.052637   4981991  0.422312  1824  0.239522  0.0000 0.001339 0.001717 0.006579  0.055030 -0.172601 -0.082883  44.9734283592 -110.6892998017  1824.23952
MAWY 99JAN31 1999.0828 51209  995 0 -110.7    844  0.050879   4981991  0.426450  1824  0.251993  0.0000 0.001350 0.001822 0.007107  0.013091 -0.200551 -0.059093  44.9734283962 -110.6892998245  1824.25199
MAWY 99FEB01 1999.0856 51210  995 1 -110.7    844  0.046048   4981991  0.423502  1824  0.249394  0.0000 0.001346 0.001692 0.006663  0.076832 -0.114308 -0.134057  44.9734283694 -110.6892998863  1824.24939
MAWY 99FEB02 1999.0883 51211  995 2 -110.7    844  0.047007   4981991  0.423807  1824  0.251627  0.0000 0.001338 0.001634 0.006304  0.038542 -0.193832 -0.112595  44.9734283719 -110.6892998747  1824.25163
MAWY 99FEB03 1999.0910 51212  995 3 -110.7    844  0.049773   4981991  0.421443  1824  0.251874  0.0000 0.001322 0.001676 0.006513  0.046878 -0.238377 -0.074437  44.9734283504 -110.6892998401  1824.25187
MAWY 99FEB04 1999.0938 51213  995 4 -110.7    844  0.054212   4981991  0.421081  1824  0.248383  0.0000 0.001310 0.001757 0.006630  0.023155 -0.152142 -0.090146  44.9734283469 -110.6892997844  1824.24838
MAWY 99FEB05 1999.0965 51214  995 5 -110.7    844  0.047265   4981991  0.430810  1824  0.257303  0.0000 0.001333 0.001743 0.006772 -0.015312 -0.189093 -0.099804  44.9734284343 -110.6892998730  1824.25730
