site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
NRWY 03OCT12 2003.7782 52924 1240 0 -110.7   1765  0.712800   4953255  0.780045  2342  0.706584  0.0000 0.000814 0.001113 0.003617 -0.000699 -0.030636 -0.098916  44.7148481825 -110.6777167624  2342.70658
NRWY 03OCT13 2003.7810 52925 1240 1 -110.7   1765  0.712334   4953255  0.779547  2342  0.710716  0.0000 0.000813 0.001108 0.003593  0.012742 -0.088239 -0.113530  44.7148481778 -110.6777167688  2342.71072
NRWY 03OCT14 2003.7837 52926 1240 2 -110.7   1765  0.711026   4953255  0.779334  2342  0.714590  0.0000 0.000848 0.001119 0.003685  0.094268 -0.135045 -0.127858  44.7148481756 -110.6777167859  2342.71459
NRWY 03OCT15 2003.7864 52927 1240 3 -110.7   1765  0.712877   4953255  0.782382  2342  0.712956  0.0000 0.000851 0.001157 0.003762  0.021248 -0.011251 -0.040657  44.7148482028 -110.6777167630  2342.71296
NRWY 03OCT16 2003.7892 52928 1240 4 -110.7   1765  0.712436   4953255  0.780492  2342  0.713268  0.0000 0.000808 0.001063 0.003492  0.062174 -0.007990 -0.052463  44.7148481856 -110.6777167691  2342.71327
NRWY 03OCT17 2003.7919 52929 1240 5 -110.7   1765  0.711768   4953255  0.778555  2342  0.709889  0.0000 0.000799 0.001060 0.003496  0.032787 -0.055047 -0.119400  44.7148481679 -110.6777167781  2342.70989
NRWY 03OCT18 2003.7947 52930 1240 6 -110.7   1765  0.712817   4953255  0.779716  2342  0.709291  0.0000 0.000785 0.001048 0.003398 -0.000368  0.033869 -0.075078  44.7148481781 -110.6777167654  2342.70929
NRWY 03OCT19 2003.7974 52931 1241 0 -110.7   1765  0.712461   4953255  0.778790  2342  0.710250  0.0000 0.000775 0.001024 0.003337  0.021971 -0.002347 -0.087816  44.7148481696 -110.6777167704  2342.71025
NRWY 03OCT20 2003.8001 52932 1241 1 -110.7   1765  0.713874   4953255  0.778928  2342  0.709618  0.0000 0.000792 0.001040 0.003464 -0.013590 -0.048094 -0.122480  44.7148481706 -110.6777167531  2342.70962
NRWY 03OCT21 2003.8029 52933 1241 2 -110.7   1765  0.711820   4953255  0.781255  2342  0.709220  0.0000 0.000816 0.001099 0.003644  0.067743 -0.017911 -0.078255  44.7148481913 -110.6777167795  2342.70922
NRWY 03OCT22 2003.8056 52934 1241 3 -110.7   1765  0.711354   4953255  0.779469  2342  0.709946  0.0000 0.000844 0.001111 0.003774  0.060309 -0.038057 -0.157495  44.7148481750 -110.6777167859  2342.70995
NRWY 03OCT23 2003.8084 52935 1241 4 -110.7   1765  0.712001   4953255  0.779998  2342  0.706928  0.0000 0.000825 0.001081 0.003601 -0.027897  0.066563 -0.064823  44.7148481795 -110.6777167783  2342.70693
NRWY 03OCT24 2003.8111 52936 1241 5 -110.7   1765  0.713391   4953255  0.780833  2342  0.712129  0.0000 0.000813 0.001065 0.003519  0.033967  0.039054 -0.102997  44.7148481868 -110.6777167613  2342.71213
NRWY 03OCT25 2003.8138 52937 1241 6 -110.7   1765  0.714053   4953255  0.779047  2342  0.701774  0.0000 0.000780 0.001008 0.003345  0.015794 -0.052224 -0.005122  44.7148481705 -110.6777167534  2342.70177
NRWY 03OCT26 2003.8166 52938 1242 0 -110.7   1765  0.714403   4953255  0.780235  2342  0.704039  0.0000 0.000797 0.001016 0.003398  0.001998  0.039071 -0.084343  44.7148481809 -110.6777167495  2342.70404
NRWY 03OCT27 2003.8193 52939 1242 1 -110.7   1765  0.714740   4953255  0.778063  2342  0.714469  0.0000 0.000837 0.001102 0.003693  0.010409 -0.084082 -0.077700  44.7148481612 -110.6777167458  2342.71447
NRWY 03OCT28 2003.8220 52940 1242 2 -110.7   1765  0.713742   4953255  0.777133  2342  0.714635  0.0000 0.000815 0.001115 0.003705  0.026721 -0.049748 -0.072743  44.7148481526 -110.6777167589  2342.71463
NRWY 03OCT29 2003.8248 52941 1242 3 -110.7   1765  0.710233   4953255  0.778204  2342  0.707200  0.0000 0.001114 0.001470 0.005199  0.047057 -0.119308 -0.148028  44.7148481619 -110.6777168037  2342.70720
NRWY 03OCT30 2003.8275 52942 1242 4 -110.7   1765  0.711557   4953255  0.778690  2342  0.719426  0.0000 0.001291 0.001746 0.005709  0.126721 -0.085807 -0.119438  44.7148481661 -110.6777167875  2342.71943
NRWY 03OCT31 2003.8303 52943 1242 5 -110.7   1765  0.713712   4953255  0.777710  2342  0.698861  0.0000 0.001082 0.001625 0.005183  0.102914 -0.089817  0.225306  44.7148481570 -110.6777167609  2342.69886
NRWY 03NOV01 2003.8330 52944 1242 6 -110.7   1765  0.716386   4953255  0.779145  2342  0.711065  0.0000 0.000816 0.001051 0.003610 -0.025484  0.047796 -0.098500  44.7148481697 -110.6777167276  2342.71107
NRWY 03NOV02 2003.8357 52945 1243 0 -110.7   1765  0.714516   4953255  0.778541  2342  0.712761  0.0000 0.000768 0.001014 0.003268 -0.018153  0.019960 -0.046204  44.7148481640 -110.6777167518  2342.71276
NRWY 03NOV03 2003.8385 52946 1243 1 -110.7   1765  0.715084   4953255  0.778091  2342  0.713026  0.0000 0.000781 0.001035 0.003397  0.013792 -0.039844 -0.074817  44.7148481598 -110.6777167451  2342.71303
NRWY 03NOV04 2003.8412 52947 1243 2 -110.7   1765  0.713810   4953255  0.777339  2342  0.718902  0.0000 0.000781 0.001058 0.003367  0.053825 -0.026902 -0.007739  44.7148481528 -110.6777167617  2342.71890
NRWY 03NOV05 2003.8439 52948 1243 3 -110.7   1765  0.713825   4953255  0.779049  2342  0.726196  0.0000 0.000781 0.001063 0.003331  0.039454  0.001613  0.001673  44.7148481679 -110.6777167621  2342.72620
