site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
OFW2 03NOV18 2003.8795 52961 1245 2 -110.8  -2479 -0.353533   4923947  0.943878  2280  0.491942  0.0000 0.001201 0.001460 0.005503 -0.050329  0.142327 -0.108335  44.4511073590 -110.8311499584  2280.49194
OFW2 03NOV19 2003.8823 52962 1245 3 -110.8  -2479 -0.354106   4923947  0.942096  2280  0.472200  0.0000 0.001183 0.001503 0.005553  0.016378  0.169480 -0.123801  44.4511073427 -110.8311499661  2280.47220
OFW2 03NOV20 2003.8850 52963 1245 4 -110.8  -2479 -0.355159   4923947  0.944903  2280  0.468758  0.0000 0.001628 0.002245 0.007659  0.014513  0.064778 -0.229702  44.4511073677 -110.8311499798  2280.46876
OFW2 03NOV21 2003.8877 52964 1245 5 -110.8  -2479 -0.351806   4923947  0.944840  2280  0.474751  0.0000 0.001404 0.001631 0.006291  0.132240  0.119641 -0.064991  44.4511073669 -110.8311499382  2280.47475
OFW2 03NOV22 2003.8905 52965 1245 6 -110.8  -2479 -0.353083   4923947  0.944081  2280  0.480576  0.0000 0.001154 0.001405 0.005426  0.038295  0.122770 -0.074156  44.4511073599 -110.8311499548  2280.48058
OFW2 03NOV23 2003.8932 52966 1246 0 -110.8  -2479 -0.354074   4923947  0.941530  2280  0.473554  0.0000 0.001112 0.001268 0.004851  0.005976  0.120564 -0.113435  44.4511073367 -110.8311499677  2280.47355
OFW2 03NOV24 2003.8960 52967 1246 1 -110.8  -2479 -0.354835   4923947  0.939811  2280  0.485579  0.0000 0.001221 0.001466 0.005618 -0.044793  0.186188 -0.107846  44.4511073210 -110.8311499778  2280.48558
OFW2 03NOV25 2003.8987 52968 1246 2 -110.8  -2479 -0.354970   4923947  0.941742  2280  0.479079  0.0000 0.001173 0.001459 0.005485  0.035867  0.121380  0.001867  44.4511073381 -110.8311499800  2280.47908
OFW2 03NOV26 2003.9014 52969 1246 3 -110.8  -2479 -0.354973   4923947  0.941882  2280  0.479924  0.0000 0.001194 0.001395 0.005460 -0.024757  0.180281 -0.149986  44.4511073391 -110.8311499806  2280.47992
OFW2 03NOV27 2003.9042 52970 1246 4 -110.8  -2479 -0.354422   4923947  0.943736  2280  0.468146  0.0000 0.001187 0.001354 0.005471 -0.023589  0.171290 -0.201029  44.4511073556 -110.8311499742  2280.46815
