site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
P709 05SEP29 2005.7440 53642 1342 4 -110.3   1114  1.031505   4917357  0.193243  2379  0.711790  0.0083 0.001555 0.002000 0.008182 -0.095451  0.252892  0.046192  44.3917954502 -110.2860066070  2379.71179
P709 05SEP30 2005.7467 53643 1342 5 -110.3   1114  1.029812   4917357  0.197034  2379  0.718535  0.0083 0.001566 0.002005 0.008366 -0.123845  0.305394  0.096646  44.3917954840 -110.2860066287  2379.71853
P709 05OCT01 2005.7495 53644 1342 6 -110.3   1114  1.032625   4917357  0.189840  2379  0.734543  0.0083 0.001569 0.002048 0.008367 -0.034866  0.236569  0.060725  44.3917954191 -110.2860065940  2379.73454
P709 05OCT02 2005.7522 53645 1343 0 -110.3   1114  1.028057   4917357  0.197489  2379  0.725015  0.0083 0.001586 0.002037 0.008388 -0.100830  0.328715  0.037709  44.3917954877 -110.2860066518  2379.72502
P709 05OCT03 2005.7550 53646 1343 1 -110.3   1114  1.033181   4917357  0.196369  2379  0.706903  0.0083 0.001720 0.002196 0.009253 -0.057172  0.253355  0.037839  44.3917954774 -110.2860065880  2379.70690
P709 05OCT04 2005.7577 53647 1343 2 -110.3   1114  1.031787   4917357  0.196974  2379  0.716710  0.0083 0.001664 0.002164 0.008862 -0.080296  0.290231  0.119753  44.3917954826 -110.2860066060  2379.71671
P709 05OCT05 2005.7604 53648 1343 3 -110.3   1114  1.030585   4917357  0.196407  2379  0.718261  0.0083 0.001576 0.002111 0.008603 -0.081552  0.245760  0.155173  44.3917954772 -110.2860066216  2379.71826
P709 05OCT06 2005.7632 53649 1343 4 -110.3   1114  1.033609   4917357  0.196596  2379  0.717530  0.0083 0.001595 0.002057 0.008428 -0.087160  0.281294  0.115190  44.3917954787 -110.2860065842  2379.71753
P709 05OCT07 2005.7659 53650 1343 5 -110.3   1114  1.033543   4917357  0.190963  2379  0.727431  0.0083 0.001571 0.001994 0.008325 -0.104308  0.290355  0.065822  44.3917954278 -110.2860065856  2379.72743
P709 05OCT08 2005.7687 53651 1343 6 -110.3   1114  1.029859   4917357  0.189384  2379  0.717366  0.0083 0.001572 0.002003 0.008157 -0.020314  0.276914 -0.031410  44.3917954133 -110.2860066323  2379.71737
P709 05OCT09 2005.7714 53652 1344 0 -110.3   1114  1.031167   4917357  0.192249  2379  0.700948  0.0083 0.001588 0.002223 0.008774 -0.057351  0.189831  0.133248  44.3917954389 -110.2860066164  2379.70095
P709 05OCT10 2005.7741 53653 1344 1 -110.3   1114  1.031063   4917357  0.193475  2379  0.721355  0.0083 0.001489 0.001850 0.007661 -0.070733  0.284750  0.100868  44.3917954497 -110.2860066182  2379.72136
P709 05OCT11 2005.7769 53654 1344 2 -110.3   1114  1.032047   4917357  0.197081  2379  0.717626  0.0083 0.001494 0.001849 0.007836 -0.104576  0.330367  0.068286  44.3917954819 -110.2860066064  2379.71763
P709 05OCT12 2005.7796 53655 1344 3 -110.3   1114  1.031419   4917357  0.192085  2379  0.699649  0.0083 0.001548 0.001998 0.008228 -0.104017  0.277842  0.138140  44.3917954367 -110.2860066148  2379.69965
P709 05OCT13 2005.7823 53656 1344 4 -110.3   1114  1.031978   4917357  0.195461  2379  0.720843  0.0083 0.001573 0.001953 0.007969 -0.063096  0.331549  0.044136  44.3917954669 -110.2860066083  2379.72084
P709 05OCT14 2005.7851 53657 1344 5 -110.3   1114  1.034403   4917357  0.194489  2379  0.716684  0.0083 0.001516 0.002058 0.008123 -0.072688  0.267981  0.111692  44.3917954579 -110.2860065784  2379.71668
P709 05OCT15 2005.7878 53658 1344 6 -110.3   1114  1.034326   4917357  0.194594  2379  0.721904  0.0083 0.001603 0.002087 0.008522 -0.086351  0.273881  0.082263  44.3917954586 -110.2860065799  2379.72190
P709 05OCT16 2005.7906 53659 1345 0 -110.3   1114  1.031633   4917357  0.192275  2379  0.729697  0.0083 0.001543 0.001908 0.007886 -0.088263  0.346021  0.104246  44.3917954375 -110.2860066142  2379.72970
P709 05OCT17 2005.7933 53660 1345 1 -110.3   1114  1.032954   4917357  0.195508  2379  0.724722  0.0083 0.001733 0.002064 0.008832 -0.152967  0.409290  0.021577  44.3917954664 -110.2860065981  2379.72472
P709 05OCT18 2005.7960 53661 1345 2 -110.3   1114  1.032760   4917357  0.193401  2379  0.724098  0.0083 0.001540 0.001922 0.008180 -0.120689  0.301996  0.146146  44.3917954472 -110.2860066011  2379.72410
P709 05OCT19 2005.7988 53662 1345 3 -110.3   1114  1.034020   4917357  0.194339  2379  0.718149  0.0083 0.001521 0.002038 0.008156 -0.087943  0.258188  0.099820  44.3917954554 -110.2860065858  2379.71815
P709 05OCT20 2005.8015 53663 1345 4 -110.3   1114  1.034696   4917357  0.195164  2379  0.722346  0.0083 0.001688 0.002099 0.008828 -0.078411  0.351796 -0.012543  44.3917954626 -110.2860065778  2379.72235
P709 05OCT21 2005.8042 53664 1345 5 -110.3   1114  1.033821   4917357  0.196485  2379  0.728897  0.0083 0.001564 0.001870 0.008189 -0.171773  0.327093  0.115278  44.3917954742 -110.2860065893  2379.72890
P709 05OCT22 2005.8070 53665 1345 6 -110.3   1114  1.032877   4917357  0.192749  2379  0.712607  0.0083 0.001603 0.001938 0.008282 -0.107319  0.354980  0.071994  44.3917954404 -110.2860066017  2379.71261
P709 05OCT23 2005.8097 53666 1346 0 -110.3   1114  1.035117   4917357  0.194610  2379  0.711238  0.0083 0.001501 0.001829 0.007911 -0.065618  0.342433  0.066223  44.3917954569 -110.2860065741  2379.71124
P709 05OCT24 2005.8125 53667 1346 1 -110.3   1114  1.035156   4917357  0.193611  2379  0.713993  0.0083 0.001565 0.001913 0.008167 -0.100436  0.350316  0.083945  44.3917954477 -110.2860065742  2379.71399
P709 05OCT25 2005.8152 53668 1346 2 -110.3   1114  1.034013   4917357  0.192394  2379  0.703455  0.0083 0.001622 0.001994 0.008522 -0.059489  0.376137  0.030884  44.3917954365 -110.2860065890  2379.70345
P709 05OCT26 2005.8179 53669 1346 3 -110.3   1114  1.034439   4917357  0.195556  2379  0.724412  0.0083 0.001585 0.001987 0.008672 -0.127376  0.265296  0.163449  44.3917954647 -110.2860065842  2379.72441
P709 05OCT27 2005.8207 53670 1346 4 -110.3   1114  1.032095   4917357  0.192996  2379  0.711836  0.0083 0.001598 0.001869 0.008461 -0.131262  0.367217  0.046616  44.3917954415 -110.2860066141  2379.71184
P709 05OCT28 2005.8234 53671 1346 5 -110.3   1114  1.034662   4917357  0.193314  2379  0.710866  0.0083 0.001665 0.001961 0.008725 -0.095490  0.395639  0.075176  44.3917954441 -110.2860065824  2379.71087
P709 05OCT29 2005.8261 53672 1346 6 -110.3   1114  1.032642   4917357  0.192317  2379  0.722697  0.0083 0.001569 0.001915 0.008215 -0.045120  0.318810  0.059676  44.3917954349 -110.2860066083  2379.72270
P709 05OCT30 2005.8289 53673 1347 0 -110.3   1114  1.032492   4917357  0.192470  2379  0.692376  0.0083 0.001513 0.001838 0.007836 -0.072823  0.338118  0.127332  44.3917954360 -110.2860066107  2379.69238
P709 05OCT31 2005.8316 53674 1347 1 -110.3   1114  1.033773   4917357  0.195914  2379  0.705660  0.0083 0.001572 0.001915 0.007960 -0.017420  0.340490  0.074120  44.3917954668 -110.2860065951  2379.70566
P709 05NOV01 2005.8344 53675 1347 2 -110.3   1114  1.033554   4917357  0.197399  2379  0.730695  0.0083 0.001683 0.001953 0.008453 -0.074243  0.398153  0.001260  44.3917954799 -110.2860065984  2379.73070
P709 05NOV02 2005.8371 53676 1347 3 -110.3   1114  1.034943   4917357  0.192186  2379  0.715833  0.0083 0.001592 0.002062 0.008323 -0.030389  0.281428  0.078325  44.3917954328 -110.2860065815  2379.71583
P709 05NOV03 2005.8398 53677 1347 4 -110.3   1114  1.033151   4917357  0.191608  2379  0.719772  0.0083 0.001631 0.002051 0.008410 -0.067398  0.284369  0.124904  44.3917954273 -110.2860066045  2379.71977
P709 05NOV04 2005.8426 53678 1347 5 -110.3   1114  1.031236   4917357  0.197017  2379  0.692704  0.0083 0.001539 0.001907 0.007971 -0.080641  0.307098  0.134556  44.3917954758 -110.2860066291  2379.69270
P709 05NOV05 2005.8453 53679 1347 6 -110.3   1114  1.031785   4917357  0.194253  2379  0.696384  0.0083 0.001606 0.001931 0.008065 -0.030271  0.311039 -0.054604  44.3917954507 -110.2860066227  2379.69638
P709 05NOV06 2005.8480 53680 1348 0 -110.3   1114  1.032797   4917357  0.193768  2379  0.700336  0.0083 0.001656 0.001958 0.008791 -0.136617  0.323721  0.041734  44.3917954461 -110.2860066105  2379.70034
P709 05NOV07 2005.8508 53681 1348 1 -110.3   1114  1.036316   4917357  0.195759  2379  0.704093  0.0083 0.001772 0.002194 0.009356 -0.082922  0.271568  0.051539  44.3917954638 -110.2860065669  2379.70409
P709 05NOV08 2005.8535 53682 1348 2 -110.3   1114  1.032858   4917357  0.194011  2379  0.726862  0.0083 0.001743 0.002163 0.009025 -0.087908  0.302033  0.110059  44.3917954478 -110.2860066108  2379.72686
P709 05NOV09 2005.8563 53683 1348 3 -110.3   1114  1.030777   4917357  0.195796  2379  0.702987  0.0083 0.001694 0.002063 0.008838 -0.103823  0.359832  0.072327  44.3917954636 -110.2860066374  2379.70299
P709 05NOV10 2005.8590 53684 1348 4 -110.3   1114  1.032731   4917357  0.195556  2379  0.712657  0.0083 0.001713 0.002010 0.008682 -0.077734  0.372020  0.073344  44.3917954612 -110.2860066134  2379.71266
P709 05NOV11 2005.8617 53685 1348 5 -110.3   1114  1.032237   4917357  0.192541  2379  0.723628  0.0083 0.001612 0.002097 0.008406 -0.026686  0.253813  0.048186  44.3917954339 -110.2860066201  2379.72363
P709 05NOV12 2005.8645 53686 1348 6 -110.3   1114  1.031315   4917357  0.195954  2379  0.714984  0.0083 0.001539 0.001815 0.007607 -0.098758  0.335558  0.084822  44.3917954644 -110.2860066322  2379.71498
P709 05NOV13 2005.8672 53687 1349 0 -110.3   1114  1.033669   4917357  0.195919  2379  0.713136  0.0083 0.001499 0.001827 0.007692 -0.123579  0.353751  0.180435  44.3917954638 -110.2860066032  2379.71314
P709 05NOV14 2005.8700 53688 1349 1 -110.3   1114  1.033187   4917357  0.196323  2379  0.713026  0.0083 0.001570 0.002005 0.008330  0.016600  0.201110  0.108314  44.3917954672 -110.2860066098  2379.71303
P709 05NOV15 2005.8727 53689 1349 2 -110.3   1114  1.030234   4917357  0.198191  2379  0.693864  0.0083 0.001454 0.001716 0.007484 -0.090547  0.349974  0.168846  44.3917954838 -110.2860066473  2379.69386
