site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
WLWY 02OCT30 2002.8282 52577 1190 3 -110.3   1058  0.910293   4944884  0.720367  2643  0.010084  0.0000 0.000901 0.001152 0.004059 -0.051164  0.077992 -0.116717  44.6395184650 -110.2866539976  2643.01008
WLWY 02OCT31 2002.8309 52578 1190 4 -110.3   1058  0.908248   4944884  0.723884  2643  0.011759  0.0000 0.000879 0.001132 0.004100 -0.010499  0.076486 -0.162326  44.6395184964 -110.2866540239  2643.01176
WLWY 02NOV01 2002.8337 52579 1190 5 -110.3   1058  0.909224   4944884  0.719270  2643  0.012304  0.0000 0.000862 0.001074 0.003691 -0.016560  0.053539 -0.166959  44.6395184546 -110.2866540122  2643.01230
WLWY 02NOV02 2002.8364 52580 1190 6 -110.3   1058  0.908825   4944884  0.721511  2643  0.008548  0.0000 0.000902 0.001206 0.004128 -0.035685  0.076277 -0.168266  44.6395184746 -110.2866540177  2643.00855
WLWY 02NOV03 2002.8392 52581 1191 0 -110.3   1058  0.908737   4944884  0.719497  2643  0.008680  0.0000 0.000961 0.001175 0.004239 -0.091867  0.071171 -0.152817  44.6395184562 -110.2866540194  2643.00868
WLWY 02NOV04 2002.8419 52582 1191 1 -110.3   1058  0.909054   4944884  0.719905  2643  0.013846  0.0000 0.000921 0.001194 0.004208 -0.062797  0.054194 -0.146756  44.6395184596 -110.2866540159  2643.01385
WLWY 02NOV05 2002.8446 52583 1191 2 -110.3   1058  0.908282   4944884  0.717329  2643  0.011331  0.0000 0.000903 0.001118 0.004049 -0.036825  0.105990 -0.185040  44.6395184362 -110.2866540261  2643.01133
WLWY 02NOV06 2002.8474 52584 1191 3 -110.3   1058  0.908381   4944884  0.716892  2643  0.016571  0.0000 0.000873 0.001112 0.003896 -0.030635  0.145803 -0.178564  44.6395184321 -110.2866540254  2643.01657
WLWY 02NOV07 2002.8501 52585 1191 4 -110.3   1058  0.909655   4944884  0.718746  2643  0.020401  0.0000 0.000903 0.001113 0.004010 -0.085933  0.155716 -0.166946  44.6395184485 -110.2866540099  2643.02040
WLWY 02NOV08 2002.8528 52586 1191 5 -110.3   1058  0.911222   4944884  0.718997  2643  0.025283  0.0000 0.000905 0.001125 0.004041 -0.099220  0.188697 -0.092188  44.6395184505 -110.2866539906  2643.02528
WLWY 02NOV09 2002.8556 52587 1191 6 -110.3   1058  0.907455   4944884  0.721706  2643  0.022625  0.0000 0.000921 0.001102 0.004001 -0.114410  0.140527 -0.123637  44.6395184747 -110.2866540386  2643.02262
