time[yrs],velocity[m/yr]
2005.8,0.0302
2006.0,0.02937
2006.2,0.02758
2006.4,0.02601
2006.6,0.02441
2006.8,0.02272
2007.0,0.02235
2007.2,0.023
2007.4,0.02333
2007.6,0.02292
2007.8,0.02244
2008.0,0.02185
2008.2,0.02011
2008.4,0.01746
2008.6,0.01418
2008.8,0.01115
2009.0,0.00788
2009.2,0.00397
2009.4,0.00052
2009.6,-0.00241
2009.8,-0.00495
2010.0,-0.00791
2010.2,-0.01084
2010.4,-0.01336
2010.6,-0.01532
2010.8,-0.01653
2011.0,-0.0169
2011.2,-0.01626
2011.4,-0.01502
2011.6,-0.01376
2011.8,-0.01362
2012.0,-0.01449
2012.2,-0.01551
2012.4,-0.01641
2012.6,-0.01751
2012.8,-0.01827
2013.0,-0.0178
2013.2,-0.01551
2013.4,-0.01122
2013.6,-0.00488
2013.8,0.00329
2014.0,0.01194
2014.2,0.01966
2014.4,0.02461
2014.6,0.02614
2014.8,0.02472
2015.0,0.02121
2015.2,0.01665
2015.4,0.0117
2015.6,0.00748
2015.8,0.00368
2016.0,-0.0002
2016.2,-0.00458
2016.4,-0.00842
2016.6,-0.01115
2016.8,-0.01396
2017.0,-0.01586
2017.2,-0.01669
2017.4,-0.01589
2017.6,-0.0138
2017.8,-0.01298
2018.0,-0.01335
2018.2,-0.01414
2018.4,-0.0146
2018.6,-0.01452
2018.8,-0.01376
2019.0,-0.01367
2019.2,-0.01555
2019.4,-0.018
2019.6,-0.0214
2019.8,-0.02254
2020.0,-0.01812
2020.2,-0.01256
2020.4,-0.00846
2020.6,-0.00587
2020.8,-0.00617
2021.0,-0.00838
2021.2,-0.00946
2021.4,-0.00946
2021.6,-0.01038
2021.8,-0.01149
2022.0,-0.01238
2022.2,-0.01369
2022.4,-0.01526
2022.6,-0.01642
2022.8,-0.01767
2023.0,-0.01884
2023.2,-0.01953
2023.4,-0.01992
2023.6,-0.01997
2023.8,-0.01944
2024.0,-0.01884
2024.2,-0.01847
2024.4,-0.01818
2024.6,-0.01822
