time[yrs],velocity[m/yr]
2000.2,0.00131
2000.4,0.00118
2000.6,-0.00114
2000.8,-0.00616
2001.0,-0.0114
2001.2,-0.01443
2001.4,-0.01527
2001.6,-0.01485
2001.8,-0.01192
2002.0,-0.00699
2002.2,-0.00276
2002.4,-0.00011
2002.6,0.00325
2002.8,0.00569
2003.0,0.00416
2003.2,0.00225
2003.4,0.00116
2003.6,-0.00272
2003.8,-0.00666
2004.0,-0.00697
2004.2,-0.0061
2004.4,-0.00288
2004.6,0.01089
2004.8,0.03368
2005.0,0.05126
2005.2,0.05556
2005.4,0.05311
2005.6,0.04813
2005.8,0.04396
2006.0,0.04527
2006.2,0.05035
2006.4,0.05291
2006.6,0.0491
2006.8,0.04386
2007.0,0.04024
2007.2,0.03798
2007.4,0.03661
2007.6,0.03635
2007.8,0.03665
2008.0,0.0372
2008.2,0.03654
2008.4,0.03408
2008.6,0.03037
2008.8,0.02658
2009.0,0.02206
2009.2,0.01563
2009.4,0.00977
2009.6,0.00488
2009.8,-0.00048
2010.0,-0.00669
2010.2,-0.0119
2010.4,-0.01564
2010.6,-0.01838
2010.8,-0.01958
2011.0,-0.01868
2011.2,-0.01654
2011.4,-0.01435
2011.6,-0.01227
2011.8,-0.0116
2012.0,-0.01265
2012.2,-0.01437
2012.4,-0.01583
2012.6,-0.01748
2012.8,-0.01917
2013.0,-0.0198
2013.2,-0.01815
2013.4,-0.0137
2013.6,-0.00641
2013.8,0.00358
2014.0,0.01482
2014.2,0.02534
2014.4,0.03256
2014.6,0.03519
2014.8,0.03331
2015.0,0.02816
2015.2,0.02119
2015.4,0.01342
2015.6,0.00609
2015.8,-0.00074
2016.0,-0.0072
2016.2,-0.01335
2016.4,-0.01889
2016.6,-0.02332
2016.8,-0.02532
2017.0,-0.02451
2017.2,-0.02459
2017.4,-0.02529
2017.6,-0.02495
2017.8,-0.02502
2018.0,-0.02337
2018.2,-0.02044
2018.4,-0.01803
2018.6,-0.01857
2018.8,-0.02107
2019.0,-0.02549
2019.2,-0.02994
2019.4,-0.02969
2019.6,-0.0272
2019.8,-0.02306
2020.0,-0.01937
2020.2,-0.01911
2020.4,-0.0198
2020.6,-0.02027
2020.8,-0.0216
2021.0,-0.0229
2021.2,-0.02375
2021.4,-0.02399
2021.6,-0.02345
2021.8,-0.02187
2022.0,-0.01967
2022.2,-0.01808
2022.4,-0.01717
2022.6,-0.01792
2022.8,-0.01966
2023.0,-0.02074
2023.2,-0.0218
2023.4,-0.02252
2023.6,-0.02305
2023.8,-0.02317
2024.0,-0.02327
2024.2,-0.02331
2024.4,-0.02351
2024.6,-0.02286
2024.8,-0.02181
