time[yrs],velocity[m/yr]
2000.2,0.00294
2000.4,0.00298
2000.6,0.0036
2000.8,0.00464
2001.0,0.00489
2001.2,0.00514
2001.4,0.00546
2001.6,0.00517
2001.8,0.00494
2002.0,0.00498
2002.2,0.00543
2002.4,0.00557
2002.6,0.00555
2002.8,0.0054
2003.0,0.0046
2003.2,0.00381
2003.4,0.00296
2003.6,0.00183
2003.8,0.00092
2004.0,-5e-05
2004.2,-0.0007
2004.4,-0.00132
2004.6,-0.0018
2004.8,-0.00189
2005.0,-0.00208
2005.2,-0.00275
2005.4,-0.00325
2005.6,-0.00371
2005.8,-0.00619
2006.0,-0.00829
2006.2,-0.00894
2006.4,-0.0096
2006.6,-0.01021
2006.8,-0.00952
2007.0,-0.00687
2007.2,-0.00485
2007.4,-0.00389
2007.6,-0.00234
2007.8,-0.00091
2008.0,-0.00049
2008.2,-0.00076
2008.4,-0.00072
2008.6,-0.00111
2008.8,-0.00163
2009.0,-0.00194
2009.2,-0.00249
2009.4,-0.0027
2009.6,-0.00145
2009.8,0.00147
2010.0,0.00405
2010.2,0.00669
2010.4,0.00915
2010.6,0.01038
2010.8,0.00968
2011.0,0.00807
2011.2,0.00662
2011.4,0.00543
2011.6,0.00494
2011.8,0.00486
2012.0,0.00479
2012.2,0.00451
2012.4,0.00472
2012.6,0.00422
2012.8,0.00335
2013.0,0.00301
2013.2,0.0032
2013.4,0.0033
2013.6,0.00262
2013.8,0.00152
2014.0,-7e-05
2014.2,-0.00182
2014.4,-0.00331
2014.6,-0.00414
2014.8,-0.0042
2015.0,-0.00322
2015.2,-0.00129
2015.4,0.00073
2015.6,0.00242
2015.8,0.00338
2016.0,0.0036
2016.2,0.00279
2016.4,0.00125
2016.6,-0.00025
2016.8,-0.00113
2017.0,-0.00133
2017.2,-0.00168
2017.4,-0.00188
2017.6,-0.00172
2017.8,-0.0019
2018.0,-0.00224
2018.2,-0.00227
2018.4,-0.00207
2018.6,-0.00169
2018.8,-0.00104
2019.0,-0.00045
2019.2,0.00055
2019.4,0.00136
2019.6,0.00116
2019.8,0.00144
2020.0,0.00233
2020.2,0.00294
2020.4,0.00321
2020.6,0.00349
2020.8,0.00296
2021.0,0.00094
2021.2,-0.00184
2021.4,-0.0048
2021.6,-0.00785
2021.8,-0.00934
2022.0,-0.0083
2022.2,-0.00661
2022.4,-0.00473
2022.6,-0.00182
2022.8,0.00052
2023.0,0.00185
2023.2,0.00317
2023.4,0.00442
2023.6,0.0053
2023.8,0.00555
2024.0,0.00504
2024.2,0.00388
2024.4,0.00255
2024.6,0.00109
2024.8,0.0003
