time[yrs],velocity[m/yr]
2004.8,-0.01539
2005.0,-0.01994
2005.2,-0.02791
2005.4,-0.03259
2005.6,-0.0335
2005.8,-0.03176
2006.0,-0.02637
2006.2,-0.01751
2006.4,-0.00864
2006.6,-0.00145
2006.8,0.0032
2007.0,0.00574
2007.2,0.00473
2007.4,0.00184
2007.6,-0.00046
2007.8,-0.0026
2008.0,-0.00396
2008.2,-0.00508
2008.4,-0.00571
2008.6,-0.00619
2008.8,-0.00622
2009.0,-0.00566
2009.2,-0.0046
2009.4,-0.00312
2009.6,-0.00187
2009.8,-0.00076
2010.0,-0.00013
2010.2,-0.00052
2010.4,-0.00196
2010.6,-0.00319
2010.8,-0.00362
2011.0,-0.00385
2011.2,-0.0035
2011.4,-0.00234
2011.6,-0.0011
2011.8,-0.0008
2012.0,-0.00078
2012.2,-0.00018
2012.4,-0.0002
2012.6,-0.00067
2012.8,-0.00015
2013.0,0.00391
2013.2,0.01139
2013.4,0.01602
2013.6,0.01632
2013.8,0.01458
2014.0,0.00893
2014.2,-0.00082
2014.4,-0.01024
2014.6,-0.0169
2014.8,-0.02037
2015.0,-0.02013
2015.2,-0.01425
2015.4,-0.00336
2015.6,0.00776
2015.8,0.01682
2016.0,0.0244
2016.2,0.02997
2016.4,0.0334
2016.6,0.03512
2016.8,0.03457
2017.0,0.03188
2017.2,0.02842
2017.4,0.02522
2017.6,0.02166
2017.8,0.01812
2018.0,0.01631
2018.2,0.01545
2018.4,0.01346
2018.6,0.01056
2018.8,0.00779
2019.0,0.00428
2019.2,-0.00186
2019.4,-0.00886
2019.6,-0.01499
2019.8,-0.01844
2020.0,-0.01716
2020.2,-0.01262
2020.4,-0.00715
2020.6,-0.00225
2020.8,0.00122
2021.0,0.00272
2021.2,0.00351
2021.4,0.0034
2021.6,0.00156
2021.8,-0.00083
2022.0,-0.00279
2022.2,-0.00525
2022.4,-0.00893
2022.6,-0.01166
2022.8,-0.01317
2023.0,-0.01446
2023.2,-0.01503
2023.4,-0.01416
2023.6,-0.01181
2023.8,-0.00884
2024.0,-0.00727
2024.2,-0.00632
2024.4,-0.00557
