time[yrs],velocity[m/yr]
2008.5,-0.00376
2008.75,-0.00375
2009.0,-0.00333
2009.25,-0.00227
2009.5,-0.00126
2009.75,-0.00038
2010.0,-0.00028
2010.25,-0.00154
2010.5,-0.00302
2010.75,-0.00406
2011.0,-0.0039
2011.25,-0.00208
2011.5,0.0005
2011.75,0.00265
2012.0,0.00352
2012.25,0.00314
2012.5,0.00218
2012.75,0.00111
2013.0,0.00045
2013.25,0.00034
2013.5,0.00039
2013.75,3e-05
2014.0,-0.00073
2014.25,-0.00114
2014.5,-0.00138
2014.75,-0.00107
2015.0,0.00019
2015.25,0.00111
2015.5,0.0017
2015.75,0.00176
2016.0,0.00092
2016.25,-0.00054
2016.5,-0.00219
2016.75,-0.0036
2017.0,-0.00449
2017.25,-0.00467
2017.5,-0.00398
2017.75,-0.0026
2018.0,-0.00096
2018.25,0.00032
2018.5,0.00041
2018.75,-0.00055
2019.0,-0.00245
2019.25,-0.00417
2019.5,-0.00502
2019.75,-0.00491
2020.0,-0.0033
2020.25,-0.00086
2020.5,0.00145
2020.75,0.00349
2021.0,0.00451
2021.25,0.00418
2021.5,0.00337
2021.75,0.00251
2022.0,0.00169
2022.25,0.00057
2022.5,-0.00069
2022.75,-0.00186
2023.0,-0.00267
2023.25,-0.00254
2023.5,-0.00172
2023.75,-0.00061
2024.0,0.00013
2024.25,0.00041
2024.5,0.00053
