time[yrs],velocity[mm/yr]
1986,0.0051
1987,0.01041
1988,0.02227
1989,0.0262
1990,0.0228
1991,0.0143
1992,0.00253
1993,-0.01127
1994,-0.0263
1995,-0.04201
1996,-0.05644
1997,-0.07257
1998,-0.08865
1999,-0.10456
2000,-0.12023
2001,-0.1356
2002,-0.22793
2003,-0.37262
2004,-0.25165
2005,-0.23896
2006,-0.5224
2007,-0.22152
2008,0.20622
2009,0.37443
2010,0.55465
2011,0.64201
2012,0.42387
2013,0.22843
2014,0.06588
2015,-0.31949
2016,-0.11255
2017,0.27935
2018,0.26765
2019,0.06377
2020,0.00778
2021,-0.11032
2022,-0.1066
2023,-0.14712
2024,-0.13523
