name,path,P0,Delta_P,T,tr,run_time,spinup_time,output_dt,cycles,nested,sawtooth,inv_sawtooth,tc,t_som,som_mag,Delta_v,notes
Yellowstone_Run0,Runs/run0,1000000,250000,15,1,630,500,0.1,2,0,0,1,0,0,Source dim 50% of CR dim. Source at CR depth. Gravity is on,"Secondary pressure function shift = 15. Ellipsoidal source, ellipsodial CR. CR radii (x,y,z) = (30,50,5.0)km. Primary source radii (x,y,z) = 20km, 40km, 2.5km. Primary source depth 10 km. Secondary source radii (x,y,z) = 10km, 20km, 1.0km. Secondary source at 14km depth with -35 km x offset. Shallow source outside of CR. Realistic Vs structure. Identical to Double_Pres10, with secondary source shifted down from 4 to 14 km depth. Identical to above but with initial stress state defined for gravity",
Yellowstone_Run1,Runs/run1,1000000,250000,15,1,630,500,0.1,2,0,0,1,59.1092200840239,0,0,,
Yellowstone_Run2,Runs/run2,1000000,250000,15,1,630,500,0.1,2,0,0,1,13.2351227393812,0,0,12.011813246139,Source dim 50% of CR dim. Source at CR depth (6.5 km). Gravity is off
Yellowstone_Run3,Runs/run3,1000000,250000,15,1,630,500,0.1,2,0,0,1,13.8564200498349,0,0,11.0866457916434,Source dim 50% of CR dim. Source depth = 7.25 km (0.5 km from bottom of CR). Gravity is off
Yellowstone_Run4,Runs/run4,1000000,250000,15,1,630,500,0.1,2,0,0,1,12.9445735029194,0,0,13.1336979158478,Source dim 50% of CR dim. Source depth = 5.75 km (0.5 km from top of CR). Gravity is off
Yellowstone_Run5,Runs/run5,1000000,250000,15,1,630,500,0.1,2,0,0,1,17.2715153197105,0,0,2.73738653038212,Source dim 25% of CR dim. Source depth = 6.5 km (same depth as CR)
Yellowstone_Run6,Runs/run6,1000000,250000,15,1,630,500,0.1,2,0,0,1,18.8602426633867,0,0,2.35265994467566,Source dim 25% of CR dim. Source depth = 7.875 km (bottom 0.5 km above CR bottom)
Yellowstone_Run7,Runs/run7,1000000,250000,15,1,630,500,0.1,2,0,0,1,17.2938511421515,0,0,3.02139360281885,Source dim 25% of CR dim. Source depth = 5.125 km (top 0.5 km below CR top)
Yellowstone_Run8,Runs/run8,1000000,250000,15,1,630,500,0.1,2,0,0,1,9.38444010050664,0,0,35.497278946053,Source dim 80% of CR dim. Source depth = 6.5 km (CR deptj)
Yellowstone_Run9,Runs/run9,1000000,250000,15,0.1,630,500,0.1,2,0,0,1,4.1435000095119,0,0,"Source dim 50% of CR dim. Source depth = 6.5 km (same depth as CR) Identical to run2, except with eta_CR=1.261E17 Pa s",
Yellowstone_Run10,Runs/run10,1000000,250000,15,0.1,630,500,0.1,2,0,0,1,13.8564200498349,0,0,11.0866457916434,Source dim 50% of CR dim. Source depth = 7.25 km (0.5 km from bottom of CR). Identical to run3 except with eta_CR=1.261E17 Pa s
Yellowstone_Run11,Runs/run11,1000000,250000,15,0.1,630,500,0.1,2,0,0,1,13.8564200498349,0,0,11.0866457916434,Source dim 50% of CR dim. Source depth = 5.75km (0.5 km from top of CR). Identical to run4 except with eta_CR=1.261E17 Pa s
Yellowstone_Run12,Runs/run12,1000000,250000,15,0.1,630,500,0.1,2,0,0,1,4.97569080210207,0,0,Source dim 25% of CR dim. Source depth = 6.5 km (same depth as CR) Identical to run5 except with eta_CR=1.261E17 Pa s,
Yellowstone_Run13,Runs/run13,1000000,250000,15,0.1,630,500,0.1,2,0,0,1,4.57387932463214,0,0,Source dim 25% of CR dim. Source depth = 7.875 km (0.5 km from bottom of CR) Identical to run5 except with eta_CR=1.261E17 Pa s,
Yellowstone_Run14,Runs/run14,1000000,250000,15,0.1,630,500,0.1,2,0,0,1,0,0,Source dim 25% of CR dim. Source depth = 5.125 km (0.5 km from top of CR) Identical to run5 except with eta_CR=1.261E17 Pa s,,
Yellowstone_Run15,Runs/run15,1000000,250000,15,0.1,630,500,0.1,2,0,0,1,4.97569080210207,0,0,Source dim 25% of CR dim. Source depth = 6.5 km (same depth as CR) Identical to run12 except with an upside down sawtooth pressure function,
Yellowstone_Run16,Runs/run16,1000000,250000,15,0.1,630,500,0.1,2,0,0,1,5.62272609534116,0,0,Source dim 10% of CR dim. Source depth = 6.5 km (same depth as CR),
Yellowstone_Run17,Runs/run17,1000000,250000,15,0.1,630,500,0.1,2,0,0,1,5.62272609534116,0,0,"Source dim 10% of CR dim. Source depth = 6.5 km (same depth as CR), upside down sawtooth",
Yellowstone_Run18,Runs/run18,1000000,250000,30,0.1,660,500,0.1,2,0,0,1,4.97569080210207,0 0,0.30287153034747066 0.42373147840204695,Source dim 25% of CR dim. Source depth = 6.5 km (same depth as CR),
Yellowstone_Run19,Runs/run19,1000000,250000,15,0.1,630,500,0.1,2,0,0,1,5.93764795002082,0,0,"Source dim 10% of CR dim. Source depth =4.75 km (top of source 0.5 km below top of CR), upside down sawtooth",
Yellowstone_Run20,Runs/run20,1000000,250000,15,0.1,630,500,0.1,2,0,0,1,6.22187007617174,0,0,0.792144915144368,"Source dim 10% of CR dim. Source depth =8.25 km (bottom of source 0.5 km above bottom of CR), upside down sawtooth"
Yellowstone_Run21,Runs/run21,1000000,250000,15,0.1,630,500,0.1,2,0,0,1,4.68716450078625,0,0,9.16908526156074,"Source dim 25% of CR dim. Source depth =7.875 km (bottom of source 0.5 km above bottom of CR), upside down sawtooth"
Yellowstone_Run22,Runs/run22,1000000,250000,15,0.1,630,500,0.1,2,0,0,1,4.98966621326686,0,0,10.9929778252589,"Source dim 25% of CR dim. Source depth =5.125 km (top of source 0.5 km below top of CR), upside down sawtooth"
Yellowstone_Run23,Runs/run23,1000000,250000,50,0.1,700,500,0.1,2,0,0,1,5.09438547102376,0,0,5.18680407783224,Source dim 25% of CR dim. Source depth = 6.5 km (same depth as CR)
Yellowstone_Run24,Runs/run24,1000000,250000,30,0.1,660,500,0.1,2,0,0,1,4356.8814733452,0,0,"Source dim 25% of usual CR dim. Source depth = 6.5 km, NO CR!",
Yellowstone_Run24_2,Runs/run24_2,1000000,250000,30,0.1,660,500,0.1,2,0,0,1,"Source dim 25% of usual CR dim. Source depth = 6.5 km, NO CR! Copy of run24 to verify volcan is working",,,,
Yellowstone_Run25,Runs/run25,1000000,250000,30,0.1,660,500,0.1,2,0,0,1,6033.54336444606,0,0,0.986705345706947,"Source dim 25% of usual CR dim. Source depth = 8.5 km, NO CR!"
Yellowstone_Run26,Runs/run26,1000000,250000,30,0.1,660,500,0.1,2,0,0,1,3959.40954563547,0,0,2.84301831164611,"Source dim 25% of usual CR dim. Source depth = 6.5 km, NO CR!"
Yellowstone_Run27,Runs/run27,1000000,250000,30,0.1,660,500,0.1,2,0,0,1,4.2283737053404,0,0.068436920106797,27.0678247150452,Source dim 50% of CR dim. Source depth = 6.5 km (same depth as CR)
Yellowstone_Run28,Runs/run28,1000000,250000,50,0.1,700,500,0.1,2,0,0,1,4.2283737053404,0 0,0.6393827621057389 0.3608893221077653,19.5164562231955,Source dim 50% of CR dim. Source depth = 6.5 km (same depth as CR)
Yellowstone_Run29,Runs/run29,1000000,250000,30,0.1,660,500,0.1,2,0,0,1,0,0,64.7483193784842,Source dim 80% of CR dim. Source depth = 6.5 km (same depth as CR),
Yellowstone_Run30,Runs/run30,1000000,250000,50,0.1,700,500,0.1,2,0,0,1,0,0,40.842070535668,Source dim 80% of CR dim. Source depth = 6.5 km (same depth as CR),
